locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
2277,CARABAYLLO,Lima,PE,2021-08-16T02:00:00+00:00,2021-08-16T01:00:00-01:00,pm10,44.98,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T02:00:00+00:00,2021-08-16T01:00:00-01:00,pm25,26.54,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T01:00:00+00:00,2021-08-16T00:00:00-01:00,pm25,30.17,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T01:00:00+00:00,2021-08-16T00:00:00-01:00,pm10,51.07,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T00:00:00+00:00,2021-08-15T23:00:00-01:00,pm10,55.1,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-16T00:00:00+00:00,2021-08-15T23:00:00-01:00,pm25,27.84,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T23:00:00+00:00,2021-08-15T22:00:00-01:00,pm25,24.06,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T23:00:00+00:00,2021-08-15T22:00:00-01:00,pm10,47.88,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T22:00:00+00:00,2021-08-15T21:00:00-01:00,pm10,36.4,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T22:00:00+00:00,2021-08-15T21:00:00-01:00,pm25,23.04,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T21:00:00+00:00,2021-08-15T20:00:00-01:00,pm25,25,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T21:00:00+00:00,2021-08-15T20:00:00-01:00,pm10,25.31,µg/m³,-11.902194,-77.033639
2277,CARABAYLLO,Lima,PE,2021-08-15T20:00:00+00:00,2021-08-15T19:00:00-01:00,pm10,31.84,µg/m³,-11.902194,-77.033639
